,Title,Published_date,Views,Likes,Comments,Month
189,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3107,85,24,Apr
190,5 Tips for Crushing the Work From Home Life,2020-04-20,5407,202,38,Apr
191,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,20997,731,128,Apr
192,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,28797,724,98,Apr
193,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,43265,889,151,Apr
194,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,71210,1866,212,Apr
195,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,79168,1740,277,Apr
196,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,125335,3442,618,Apr
197,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,192814,4939,172,Apr
198,When Data Science Goes Wrong,2020-03-30,1802,105,32,Mar
199,How to ULTRALEARN Data Science,2020-03-27,61735,3821,169,Mar
200,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4398,267,50,Mar
201,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12800,461,45,Mar
202,The Secret Data Scientists Don't Want You to Know,2020-03-16,10711,1140,105,Mar
203,The 5 Stages of Learning Data Science,2020-03-13,17436,1297,78,Mar
204,Can You Learn Data Science Without a Computer?,2020-03-11,1655,111,14,Mar
205,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,344771,21163,622,Mar
206,The Data Science Projects that Got Me a Job,2020-03-06,40668,1394,41,Mar
207,How to Integrate Data Science into Your Business,2020-03-02,3372,129,18,Mar
208,The Problem with Data Science,2020-02-28,3780,154,19,Feb
209,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1160,46,16,Feb
210,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,124908,2413,97,Feb
211,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,323592,17677,525,Feb
212,Data Science Advice for College Students,2020-02-14,68809,1963,197,Feb
213,Avoid These Data Science Resume Mistakes!,2020-02-10,28221,1241,62,Feb
214,Data Science Explained with ... Cooking?,2020-02-07,5238,314,48,Feb
215,The 4 Types of Sports Analytics Projects,2020-02-03,30416,1000,62,Feb
216,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,582,18,13,Jan
217,How I Learned Data Science,2020-01-27,93997,2693,210,Jan
218,What is Sports Analytics Really?,2020-01-20,20968,609,73,Jan
219,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,110591,3127,584,Jan
220,How To Learn Programming for Data Science [3 Steps],2020-01-13,30043,1979,96,Jan
221,Data Science Fundamentals: SQL Queries,2020-01-10,6371,212,35,Jan
222,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3130,151,14,Jan
223,The 9 Books That Changed My Perspective in 2019,2020-01-03,3380,179,25,Jan
224,The Data Science Interview: What to Expect,2019-12-30,8456,376,32,Dec
225,5 Data Science Resolutions for 2020,2019-12-27,474,25,12,Dec
